GPSC,GPSC__colour
722,#DEAF3F
723,#DC7262
724,#9B76E7
725,#98345A
726,#3D933F
727,#EE96A9
728,#C83AA2
729,#C8697D
730,#4BC686
731,#CE92C0
732,#D74386
733,#AC516B
734,#94B152
735,#A44B29
736,#704CAA
737,#97659E
738,#60793C
739,#A45E86
740,#BBAB3D
741,#F1A484
742,#5C88ED
743,#BB5E56
744,#DF8C31
745,#E29C63
746,#396DB5
747,#CF7B5D
748,#E56430
749,#D68680
750,#315D19
751,#924046
752,#C73429
753,#9D5039
754,#54C1AE
755,#884B6A
756,#D3B572
757,#DE3A5E
758,#AB6267
759,#DE272F
760,#A0622C
761,#E876CF
762,#BF8459
763,#6A7F23
764,#D6AA7C
765,#6A65B8
766,#96663F
767,#A47921
768,#79501E
769,#4F96D0
770,#93853B
771,#BC4B35
772,#6D6220
773,#30866C
774,#808E4D
775,#A8519E
776,#5E622C
777,#C88ACB
778,#56B854
779,#DD57B9
780,#A0B135
781,#7066D2
782,#D09C36
783,#A351B8
784,#3F8A57
785,#D33D67
786,#4BC0BA
787,#D34239
788,#6187C9
789,#D97030
790,#BB4689
791,#94B26C
792,#9C4C6A
793,#716F27
794,#E27F87
795,#CE9864
796,#A25434
797,#003B7C
798,#F7BD15
799,#0065E7
800,#86CF34
801,#8B0097
802,#5FFF8C
803,#9E55DD
804,#A6FF7F
805,#FC79FD
806,#007A10
807,#E838B2
808,#02D897
809,#EB89FF
810,#678400
811,#0281EF
812,#F59604
813,#A98FFF
814,#B0A000
815,#340045
816,#EAFF9E
817,#98005F
818,#7BFFEE
819,#E93834
820,#07E0FF
821,#930012
822,#57C6FF
823,#B78F00
824,#71ABFF
825,#FFA24E
826,#027FC3
827,#FFDA73
828,#FB9DFF
829,#003A06
830,#FF5BA3
831,#01996C
832,#FF5E6F
833,#01ACB2
834,#7B001F
835,#B8FFC6
836,#651500
837,#E6BAFF
838,#686B00
839,#0082AB
840,#FF9C81
841,#AEC993
842,#6D2F31
843,#FFE9B0
844,#674000
845,#FFA4B5
846,#DBC672
847,#5E6FFA
848,#9AD83D
849,#A763ED
850,#53D352
851,#B0009B
852,#03D363
853,#D25ADF
854,#20E379
855,#F663E2
856,#3FB42D
857,#8C1B94
858,#54A300
859,#643AA7
860,#008E0A
861,#C4008A
862,#01CE75
863,#FF2B79
864,#3EE098
865,#D0016F
866,#01A246
867,#FF4FAB
868,#008425
869,#EB8BFF
870,#BBD146
871,#005AB2
872,#E8C321
873,#4F98FF
874,#E27D00
875,#018FE3
876,#CC3908
877,#3FDBD3
878,#EC204A
879,#00934B
880,#FF4493
881,#89D974
882,#91227A
883,#8AD88E
884,#C4004E
885,#01A172
886,#FA3D4A
887,#01B8BB
888,#CA002C
889,#63C1FF
890,#A12F00
891,#86AFFF
892,#BA9F00
893,#294FA0
894,#FFA83F
895,#564599
896,#998500
897,#A09AFF
898,#026108
899,#FF92F0
900,#435A0F
901,#C6A3FF
902,#B45900
903,#005F9A
904,#FF8A52
905,#008C74
906,#A80228
907,#82D5C0
908,#9C195E
909,#99D49B
910,#783A80
911,#635C00
912,#FF82C4
913,#185F38
914,#FF7082
915,#724A13
916,#F7AFEF
917,#965600
918,#BA8AB7
919,#7D4514
920,#FFA2B7
921,#972C28
922,#EBBF80
923,#75406D
924,#FF715C
925,#97264D
926,#FAB799
927,#8D3443
928,#FF9987
929,#935D44
930,#C07882
931,#A96464
others,#C8CEC4
